Раздел;Помещение;Наименование;Ед.;Кол-во;Цена ₽;Сумма ₽
Черновые работы;Холл с лестницей;Электромонтаж (свет 9 + розетки/выкл. 5);точка;14;3500;49000
Чистовая отделка;Холл с лестницей;Шпаклёвка и окраска стен (2 слоя);м²;33;900;29700
Чистовая отделка;Холл с лестницей;Укладка напольного покрытия;м²;9;800;7200
Чистовая отделка;Холл с лестницей;Монтаж плинтуса;м.п.;11,1;450;4995
Материалы;Холл с лестницей;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;8,3;2900;23925
Материалы;Холл с лестницей;Пол: инженерная доска, дуб табак (+5%);м²;9,5;4800;45360
Материалы;Холл с лестницей;плинтус МДФ 100 мм, в цвет стен;м.п.;11,1;550;6105
Черновые работы;Спальня родителей;Стяжка и подготовка пола;м²;17,6;650;11440
Черновые работы;Спальня родителей;Штукатурка стен по маякам;м²;44,7;850;37995
Черновые работы;Спальня родителей;Потолок ГКЛ + окраска (1-й уровень);м²;17,6;1100;19360
Черновые работы;Спальня родителей;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;13,2;1450;19140
Черновые работы;Спальня родителей;Мягкая панель изголовья, лён (2600×1120, глуб. 100);шт.;1;9500;9500
Черновые работы;Спальня родителей;Ниша над изголовьем, LED 3000K (2600×600, глуб. 100);шт.;1;6500;6500
Черновые работы;Спальня родителей;Электромонтаж (свет 17 + розетки/выкл. 9);точка;26;3500;91000
Чистовая отделка;Спальня родителей;Шпаклёвка и окраска стен (2 слоя);м²;44,7;900;40230
Чистовая отделка;Спальня родителей;Укладка напольного покрытия;м²;17,6;800;14080
Чистовая отделка;Спальня родителей;Монтаж плинтуса;м.п.;15,9;450;7155
Материалы;Спальня родителей;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;11,2;2900;32408
Материалы;Спальня родителей;Пол: инженерная доска, дуб табак (+5%);м²;18,5;4800;88704
Материалы;Спальня родителей;плинтус МДФ 100 мм, в цвет стен;м.п.;15,9;550;8745
Черновые работы;Детская;Стяжка и подготовка пола;м²;12,9;650;8385
Черновые работы;Детская;Штукатурка стен по маякам;м²;37,7;850;32045
Черновые работы;Детская;Потолок ГКЛ + окраска (1-й уровень);м²;12,9;1100;14190
Черновые работы;Детская;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;10,8;1450;15660
Черновые работы;Детская;Ниша-стеллаж с подсветкой (1200×1000, глуб. 100);шт.;1;6500;6500
Черновые работы;Детская;Электромонтаж (свет 9 + розетки/выкл. 5);точка;14;3500;49000
Чистовая отделка;Детская;Шпаклёвка и окраска стен (2 слоя);м²;37,7;900;33930
Чистовая отделка;Детская;Укладка напольного покрытия;м²;12,9;800;10320
Чистовая отделка;Детская;Монтаж плинтуса;м.п.;13,5;450;6075
Материалы;Детская;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;9,4;2900;27333
Материалы;Детская;Пол: инженерная доска, дуб табак (+5%);м²;13,5;4800;65016
Материалы;Детская;плинтус МДФ 100 мм, в цвет стен;м.п.;13,5;550;7425
Черновые работы;Детская вторая;Стяжка и подготовка пола;м²;10,2;650;6630
Черновые работы;Детская вторая;Штукатурка стен по маякам;м²;33,1;850;28135
Черновые работы;Детская вторая;Потолок ГКЛ + окраска (1-й уровень);м²;10,2;1100;11220
Черновые работы;Детская вторая;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;9,2;1450;13340
Черновые работы;Детская вторая;Ниша-стеллаж с подсветкой (1200×1000, глуб. 100);шт.;1;6500;6500
Черновые работы;Детская вторая;Электромонтаж (свет 9 + розетки/выкл. 5);точка;14;3500;49000
Чистовая отделка;Детская вторая;Шпаклёвка и окраска стен (2 слоя);м²;33,1;900;29790
Чистовая отделка;Детская вторая;Укладка напольного покрытия;м²;10,2;800;8160
Чистовая отделка;Детская вторая;Монтаж плинтуса;м.п.;11,9;450;5355
Материалы;Детская вторая;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;8,3;2900;23998
Материалы;Детская вторая;Пол: инженерная доска, дуб табак (+5%);м²;10,7;4800;51408
Материалы;Детская вторая;плинтус МДФ 100 мм, в цвет стен;м.п.;11,9;550;6545
Черновые работы;Санузел второго этажа;Стяжка и подготовка пола;м²;5,7;650;3705
Черновые работы;Санузел второго этажа;Штукатурка стен по маякам;м²;26;850;22100
Черновые работы;Санузел второго этажа;Потолок ГКЛ + окраска (1-й уровень);м²;5,7;1100;6270
Черновые работы;Санузел второго этажа;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;6;1450;8700
Черновые работы;Санузел второго этажа;Ниша-полка над ванной, LED, полка стекло (1200×350, глуб. 100);шт.;1;6500;6500
Черновые работы;Санузел второго этажа;Электромонтаж (свет 4 + розетки/выкл. 5);точка;9;3500;31500
Чистовая отделка;Санузел второго этажа;Облицовка плиткой (стены/пол);м²;31,7;2000;63400
Материалы;Санузел второго этажа;Плитка керамогранит (стены+пол, +10% подрезка);м²;34,9;2600;90662
Черновые работы;Гардеробная;Стяжка и подготовка пола;м²;4;650;2600
Черновые работы;Гардеробная;Штукатурка стен по маякам;м²;21,4;850;18190
Черновые работы;Гардеробная;Потолок ГКЛ + окраска (1-й уровень);м²;4;1100;4400
Черновые работы;Гардеробная;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;4,4;1450;6380
Черновые работы;Гардеробная;Ниша банкетки с подсветкой (900×1350, глуб. 100);шт.;1;6500;6500
Черновые работы;Гардеробная;Электромонтаж (свет 4 + розетки/выкл. 5);точка;9;3500;31500
Чистовая отделка;Гардеробная;Шпаклёвка и окраска стен (2 слоя);м²;21,4;900;19260
Чистовая отделка;Гардеробная;Укладка напольного покрытия;м²;4;800;3200
Чистовая отделка;Гардеробная;Монтаж плинтуса;м.п.;7,1;450;3195
Материалы;Гардеробная;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;5,3;2900;15515
Материалы;Гардеробная;Пол: инженерная доска, дуб табак (+5%);м²;4,2;4800;20160
Материалы;Гардеробная;плинтус МДФ 100 мм, в цвет стен;м.п.;7,1;550;3905
Черновые работы;Холл второго этажа;Стяжка и подготовка пола;м²;9;650;5850
Черновые работы;Холл второго этажа;Штукатурка стен по маякам;м²;33;850;28050
Черновые работы;Холл второго этажа;Потолок ГКЛ + окраска (1-й уровень);м²;9;1100;9900
Черновые работы;Холл второго этажа;Короб потолка 2-го уровня с LED-полкой (ГКЛ, каркас);м.п.;8,4;1450;12180
Черновые работы;Холл второго этажа;Ниша банкетки с подсветкой (900×1350, глуб. 100);шт.;1;6500;6500
Черновые работы;Холл второго этажа;Электромонтаж (свет 9 + розетки/выкл. 5);точка;14;3500;49000
Чистовая отделка;Холл второго этажа;Шпаклёвка и окраска стен (2 слоя);м²;33;900;29700
Чистовая отделка;Холл второго этажа;Укладка напольного покрытия;м²;9;800;7200
Чистовая отделка;Холл второго этажа;Монтаж плинтуса;м.п.;11,1;450;4995
Материалы;Холл второго этажа;Краска (краска Tikkurila Harmony, тёплый серо-бежевый), 2 слоя;л;8,3;2900;23925
Материалы;Холл второго этажа;Пол: инженерная доска, дуб табак (+5%);м²;9,5;4800;45360
Материалы;Холл второго этажа;плинтус МДФ 100 мм, в цвет стен;м.п.;11,1;550;6105
Мебель и оборудование;—;Шкаф-гардероб;шт.;2;70000;140000
Мебель и оборудование;—;Банкетка;шт.;2;14000;28000
Мебель и оборудование;—;Кухонный гарнитур;шт.;1;220000;220000
Мебель и оборудование;—;Ковёр;шт.;3;24000;72000
Мебель и оборудование;—;Обеденный стол + 4 стула;шт.;1;95000;95000
Мебель и оборудование;—;Диван;шт.;1;135000;135000
Мебель и оборудование;—;Журнальный стол;шт.;1;18000;18000
Мебель и оборудование;—;ТВ-зона;шт.;1;45000;45000
Мебель и оборудование;—;Стол рабочий;шт.;3;32000;96000
Мебель и оборудование;—;Кресло;шт.;1;42000;42000
Мебель и оборудование;—;Стеллаж;шт.;1;26000;26000
Мебель и оборудование;—;Ванна 1700×700;шт.;2;58000;116000
Мебель и оборудование;—;Унитаз;шт.;2;30000;60000
Мебель и оборудование;—;Кровать 1600×2000;шт.;1;70000;70000
Мебель и оборудование;—;Тумба;шт.;2;11000;22000
Мебель и оборудование;—;Шкаф h2400;шт.;3;85000;255000
Мебель и оборудование;—;Кровать 900×2000;шт.;1;38000;38000
Мебель и оборудование;—;Раковина;шт.;1;27000;27000
Освещение;—;Точечные светильники;шт.;103;2800;288400
Освещение;—;Подвесы/люстры;шт.;2;22000;44000
Освещение;—;Трек-системы со спотами;шт.;1;19000;19000
Освещение;—;LED-лента 3000K + алюм. профиль с рассеивателем + БП (запас 30%);м.п.;124,8;1900;237120
