Раздел;Помещение;Наименование;Ед.;Кол-во;Цена ₽;Сумма ₽
Материалы;Прихожая;плинтус МДФ 80 мм, эмаль в цвет стен;м.п.;10,8;550;5940
Мебель и оборудование;—;Кухонный гарнитур;шт.;1;220000;220000
Мебель и оборудование;—;Ковёр;шт.;2;24000;48000
Мебель и оборудование;—;Обеденный стол + 4 стула;шт.;1;95000;95000
Мебель и оборудование;—;Журнальный стол;шт.;1;18000;18000
Мебель и оборудование;—;ТВ-зона;шт.;1;45000;45000
Мебель и оборудование;—;Кровать 1600×2000;шт.;1;70000;70000
Мебель и оборудование;—;Тумба;шт.;2;11000;22000
Мебель и оборудование;—;Шкаф h2400;шт.;1;85000;85000
Мебель и оборудование;—;Кровать 900×2000;шт.;1;38000;38000
Мебель и оборудование;—;Стол 1200×600;шт.;1;32000;32000
Мебель и оборудование;—;Ванна 1690×700;шт.;1;58000;58000
Мебель и оборудование;—;Унитаз;шт.;1;30000;30000
Мебель и оборудование;—;Раковина;шт.;1;27000;27000
Мебель и оборудование;—;Шкаф-гардероб;шт.;1;70000;70000
Мебель и оборудование;—;Банкетка;шт.;1;14000;14000
Освещение;—;Точечные светильники;шт.;25;2800;70000
Освещение;—;Подвесы/люстры;шт.;2;22000;44000
Освещение;—;Трек-системы со спотами;шт.;1;19000;19000
Освещение;—;LED-лента 3000K + алюм. профиль с рассеивателем + БП (запас 30%);м.п.;57,1;1900;108490
Черновые работы;Квартира;Кабель ВВГнг-LS по кабельному журналу (12 групп);м;95,1;180;17118
Черновые работы;Квартира;Щит квартирный: корпус, автоматы, УЗО, сборка;шт.;1;42000;42000
